phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
hosē,(T) 'help!';,"transcription of Heb. hōšīa, hōšī 'help!'.",ሆሴዕ,እርዳ!
hosä'nä,"(T) 'Hosanna, palm tree, Palm Sun-day';","(zahosä'nä, ba'äla hosä'nä, 'alata hosä'nä 'Palm Sunday'); (mahätowa hosä'nä 'eve of Palm Sunday'); see hatawa; From Heb. hōšī-'nā 'help, please!' through Gk. hōsanna; also in Te. hosa'ana, 'awsa'ana, Tna. hosa-'na; in Cushitic: Kham. ausana.",ሆሳዕና,ሆሳዕና፣ የዘንባባ ዛፍ
hasapa,"(MA) 'be violent, be rebellious, be unjust';",undoubtedly a misprint in relation to harapi with the same meaning.,ሀሰጰ,ዓመፀኛ መሆን፣ ፍትሃዊ አለመሆን
hasop,"hasop, hašopu, haspu, hušpu, husopu, hosopu 'hyssop';",(hamla haspu 'hyssop'); from Gk. hyssōpos 'hyssop'; also in Te. hisop. See also 'azäb.,ህሶጵ፣ ህሥጱ፣ ህስጱ፣ ሁስጱ፣ ሁሶጱ፣ ሆስጱ,ሂሶጵ (ዕፅ)
hesəqäpa,"(T.M) 'plow, cultivate the land' (the form is strange);","hesəqäpe (T.M) 'cultivated land, plantation';",ሄስቀፐ,ማረስ፣ መሬት ማልማት
husāse (KG),see hašāša.,,ሁሳሴ,ሁሳሴን ይመልከቱ
hawā (KP),"instead of hawā (KBT), hawā (K) 'atmosphere';","from Ar. hawā; also Amh. hawā, Har. hawā, Tna. hawāwā 'air'.",ህዋ፣ ሕዋ፣ኀዋ,አየር፣ ከባቢ አየር
"hwk, hoka (yəhuk)","'stir up, move, disturb, agitate, excite, toss about, perturb, unsettle, trouble, vex, molest'; 'ahoka (J), causative; tahawaka, tahawaka, tahoka, passive; also 'move about, quake, rebel'; hawāki, act. part. of hoka; also 'inconstant, who causes unrest, agitator'; həwwuk, həwwuk, pass. part. of hoka; huk same as hukat; hukat 'movement, motion, trouble, turmoil, disturbance, tumult, perturbation, commotion, uproar, turbulence, agitation, disorder, riot'; tahawāki 'perturbed, moved violently'; tahawāko 'tumult, disorder, perturbation, unrest, agitation'; mahawāk, māhəwāk, act. part. of hoka;","SEMITIC: Ar. (ta)hawwaka 'be stupefied, be astounded' (Armbruster 14). The connection with Biblical Aram. hāk in yəhāk 'he goes' suggested by Noel-deke, ZA 20 (1907).142, n.1 is unlikely. ETHIOPIC: Te. hawwāka 'confound, excite', Tna. hawwākā 'agitate, excite, stir up', Amh. awwākā; passed into Cushitic: Bil. hawāk 'excite, stir up', Sa. hawk-e 'tumult'.",ሆከ,ማነሳሳት፣ ማንቀሳቀስ፣ ማወክ፣ ማስቸገር
hawlaya I (T),"ridicule, mock, make fun of, jeer at, (T.M) despise, (Lt) underestimate, (T) be distrustful'; tahawlaya 'amuse oneself, procure for oneself a spectacle'; hawlayo (Lt) 'spectacle';","SEMITIC: Could be considered a variant of hablaya (above), with weakening of b, but this root could also be considered related to Heb. hll (polel) 'make a fool of', Syr. hll (afel) 'deride, mock'. ETHIOPIC: Te. halāwlaw 'fool'; see hablaya.",I ሀውለየ፣ ሐውለየ,ማሾፍ፣ መሳለቅ፣ መቀለድ፣ መንቃት
hawlaya II (Y.M),"mix, mingle, confuse'; see hawala I.",,II ሀውለየ፣ ሐውለየ,መቀላቀል፣ ማደባለቅ
hawlaya III (Y),"'burn brightly, be vivid (color), be restless';",,III ሀውለየ,ደምቆ ማብራት፣ ደማቅ ቀለም መሆን
hewlāyāt (Gr.7),'the elements';,"W. Müller suggests Gk. hýlē 'matter', perhaps rather metathesis of hallāwe (see hallawa).",ሄውልያት,ንጥረ ነገሮች
hawwata (MA),"'decorate, adorn, embellish';",,ሀወጠ,ማስጌጥ፣ ማሳመር
"hayya, hiyya","'there, thither, in that place'; bahayya 'there'; əmhayya 'from there, thence'; ənta hayya 'that way, through it'; haba hayya 'thither, to that place';","SEMITIC: Barth 1907:20.25 connects it with PbH. hē 'behold!, here is!'. Philippi, ZDMG 29 (1875).172 analyzes hayya and zaya as coming from hā, and za with -(y)ya 'a pronominal root' which he sees in Ar. hiya 'she'. For the final -(y)ya, see zaya, below.",ህየ፣ ሂየ,እዚያ፣ ወደዚያ
hayb,'coagulated milk';,from Amh. ayb.,ሀይብ,አይብ
"hyd, heda (yəhid)","'rob, take by force, plunder, spoil, break (the law), carry away by force, wrest, snatch away, confiscate, seize, wrong, outrage, (figurative) ravish, be witch' (for the figurative meaning 'ravish, be witch', cp. Amh. marrākā 'take prisoner in war, capture, captivate, fascinate'); hayyada, intensive of the preceding meaning 'aheda (Gr.12), causative of heda; tahayyada, passive; hayyādi, act. part. of hayyada; also 'rapacious'; hayyud (Gr.12) 'robbed'; hayyād (Lt) 'extortioner, robber'; hayd 'plunder, pillage, robbery, wresting'; hidat 'plundering, robbery, abduction'; tahayyādi (Gr.12) 'who was robbed'; təhayyədənna 'the condition of being robbed' (təhəddənna of M 283 is perhaps a misprint for təhayyədənna); məhayyəd 'robber, extortioner';","SEMITIC: comes close to the meaning of Ar. hāda (hyd) 'distress, oppress'.",ሄደ፣ ሔደ,መዝረፍ፣ በኃይል መውሰድ፣ መቀማት
haydādā,"'prevent, interdict', hedā 'be taken away (object)'.","ETHIOPIC: Tna. haydādā 'prevent, interdict', hedā 'be taken away (object)'.",ሀይዳዳ,መከልከል
"hayada (Y.KG), hayada","'glitter, shine'; hayādi (KG) 'that glitters, that shines'.",,ሀየደ፣ ሐየደ,ማንጸባረቅ፣ ማብራት
haydo (T),"'guide of the blind', perhaps hayyādō 'making go, walk' hayyāda 'make go';","from Amh. hedā 'go, walk'; it could also be in connection with Ar. hadā (hdy) 'guide'.",ሀይዶ,የዕውር መሪ
"haykal I , haykal","'temple, sanctuary, altar, (T) Noah's ark';","from Ar. haykal, Syr. haykalā, Aram. hēkālā (hēkal 274), also Heb. hēkāl, Ug. hkl < Akk. ekallu. Sumerian origin. For a bibliography, see D. Cohen 1970:18; add Blau 50, n.14, Kaufman 27.",I ሀይከል፣ ኀይከል,ቤተ መቅደስ፣ መሠዊያ
"haykal II , haykal",(Lt) 'amulet';,"Getatchew, BSOAS 43 (1980). 225, n. 127 connects it with Ar. haykal 'frame'; also Te. Tna. haykāl.",II ሀይከል፣ ሐይከል,ክታብ
haykāntos (T),'precious stone';,from Gk. hyakinthos 'jacinth'. See also yākānt.,ህያክንቶስ,የከበረ ድንጋይ
hayyal (pl. hayyalāt) (L.T) hayyal,"'ibex, mountain goat';","SEMITIC: Ar. 'ayyal 'mountain goat, stag', Šh. hayyol, Sar. 'yl, Heb. 'ayyāl, Aram. 'ayyālā, 'ayyālā, Md. aiāla 'deer', Ug. 'yl, Akk. ayyālu. For a bibliography, see D. Cohen 1970:17. ETHIOPIC: Tna. hay(y)al 'antelope', Amh. hayyal (from Geez).",ሀየል፣ ኀየል,ዋልያ፣ የተራራ ፍየል
haymana (Gr.11),"'be a believer, be faithful (in the religious sense), have the faith' (denominative); tahaymana (Gr.11), causative; tahaymana (Gr.11) 'believe, show oneself a believer'; hāymānot, haymānot 'belief, creed, faith, religion'; (hāymānot rətu't 'orthodox religion'); (hāymānot masihāwit 'faith of the Unitedists'; see Crummey 20-3); (hāymānotəna 'abaw 'the Faith of the Fathers', a collection of confessions and testimonies of the Church Fathers concerning their Christian belief; see Hammerschmidt 1977:82); (haddisa hāymānot 'heresy'); (rətu'a hāymānot 'orthodox'); (mazgaba hāymānot 'Treasure of the Creed', see Hammerschmidt 1977:62); hāymānotāwi (Gr.11) 'believer, faithful, religious'; məhayyam 'believer, faithful (in the religious sense), trusty, trustworthy, (Lt) coreligionist';","for the Aramaic or Syriac origin of hāymānot, see Polotsky 6-7 and others quoted in Polotsky's article, Noeldeke 1910:35; also in Tna.Amh.Gur. haymanot. For G. məhayyam, cp. Amh. māhayyaman, məhayyam, mayyam (from Geez), Gur. mayam (from Amharic).",ሀይመነ,አማኝ መሆን፣ ማመን
hayyanta,"'instead of, in place of, in return for, in substitution for, by reason of, (Gr.8) because of, in compensation, like'; the suffix pronouns are attached to the base hayyante-; e.g. hayyantehu lakrəstos 'the vicar of Christ';","ETHIOPIC: Tna. hayyānta 'replacement for, in place of'. Praetorius 1871:237 identifies it with Tna. kəndi 'instead of', with ni (of Geez) > nd, by assimilation (see also Brockelmann 1908:153), but the Geez h becoming k in Tigrinya is difficult to explain. Rundgren 1955:232 analyzes it either as hayya-n-ta or hayya-anta. Praetorius 1879:270 derives it from G. wahaya 'wander about' > hay(y)at, 'etwa 'Gang. Weg' (vgl. 'Wegen')' > hay(y)anta, with inserted n. However, the verb is wahaya, not wahaya. See also hayyata.",ህየንተ,በ... ፋንታ፣ በ... ምትክ፣ በ... ምክንያት
"hyp I, hepa (yəhip) , hepa","'strike, smite, shoot with an arrow, throw, hit with a bow and arrow, brandish a spear, pierce, split (someone's head), (L) hit the target by throwing a stone or by shooting an arrow'; ahepa (Gr.13), causative; tahaypa, passive; hayāpi (Gr.13), act. part. of hepa; hayyup (Gr.13), passive part. of hepa; hepu (T) 'disease' (from hepa 'strike', cp. Amh. mātta 'beat', māčč 'disease'); hipat, verbal noun of hepa; tahayāpi (Gr.13) 'struck'; hayp (Gr.13) 'noun'; hayp 'smite, wound'.","SEMITIC: Dillmann 16 compares Ar. habba 'cut, sever (sword)'.",I ሄጰ፣ ሔጰ,መምታት፣ በቀስት መወርወር፣ መውጋት
"hyp II, hepa (MA)","'go, leave, bubble, gush'",,II ሄጰ,መሄድ፣ መውጣት፣ መንተክተክ
hepapa,'make go out',,ሄጰጰ,እንዲወጣ ማድረግ
hep (instead of hep of MA),'spring',,ሄጵ,ምንጭ
hepa I,"'shoot > go out, bubble'","(cp. English 'shoot [arrows, plants])'",I ሄጰ,መውጣት፣ መንተክተክ
"hayyata, hayyate (T)","'instead of, in place of'",it is difficult to decide whether hayyata is the original form developed into hayyanta (with an augmented n) or whether the original form is hayyanta becoming hayyata.,ህየተ፣ ህየቴ,በ... ፋንታ፣ በ... ምትክ
"hyy, tahayyaya (T)","'be free from care, be careless, be heedless, be unmindful, disregard, overlook, forsake, be indifferent, be neglectful, esteem lightly, disdain, scorn, despise'",,ተሀየየ፣ ተሐየየ,ቸል ማለት፣ አለማሰብ፣ መተው፣ መንቃት
ahyaya,"'cause to disregard, cause to overlook, cause to be dumbfounded'",,አሀየየ,ቸል እንዲባል ማድረግ፣ ዝም እንዲባል ማድረግ
hayyuy,"'who neglects, who is heedless, who holds in light esteem'",,ሀዩይ,ቸልተኛ፣ ንቀኛ
hayyat (K),"'negligence, carelessness'",,ሀየት,ቸልተኝነት፣ ጥንቃቄ የጎደለው መሆን
tahayyayi,part. of tahayyaya,,ተሀያዪ,ቸልተኛ (ተሀየየን ይመልከቱ)
tahayyayo(t),"'negligence, carelessness'",,ተሀያዮ,ቸልተኝነት
