phonetics,meaning,origin_explanation,ethiopic_word,amharic_meaning
malhāsi,(Gr.22) 'who gives to lick';,"SEMITIC: Ar. lahisa 'lick', Mh. lahās, Akk. lāsu 'taste, lick'. ETHIOPIC: Te. lāhasa 'lick', Tna. lāhasā, Amh.Gur. lasā, Arg. lāhasa, Har. lāhasa; developed into the meaning 'tongue' in Tna. malhas, Amh. mǝlas, Gaf. mǝlasā. The root passed into Cushitic: Bed. lehas. See also lassān, below.",መልሐሲ,አላሽ
lahasa II,"(K*) lah˚asā ለሀሰ 'murmur' only in Jos.10:21, one of the three passages quoted by Dillmann, has lahasa the meaning of 'murmur' (according to the Septuagint), but 'whet the tongue' against (according to the Hebrew text). Likewise in Ex.11:7, the Hebrew text has 'whet (the tongue)' while the Greek text has 'snarl'. Also, the meaning 'murmur' cannot easily be rendered by lahasa with object suffix pronouns as is the case in Ex. 11:7 and Jos. 10:21. A meaning close to 'lick (them) to do harm' is perhaps more appropriate for lahasa in these passages than 'murmur'. The same meaning can be applied to Judith 11:19;",,II ለሐሰ፣ ለኈሰ,አንጎራጎረ
alhasa,(Lt) 'make murmur';,"ETHIOPIC: for 'murmur', cp. Te. lāhasā 'pant', and see below lahosasa.",አልሐሰ,አሳንጎራጎረ
lahasa III,"(T.Y), lahsa 'be chased away, be sent away, be dispersed';",ETHIOPIC: Te. (tā)lāhasa 'be swept away'.,III ለሐሰ፣ ልሕሰ,ተባረረ፣ ተበተነ
lahosasa,see alhosasa;,,ለሖሰሰ,ለሖሰሰ
alhosasa,"(K) 'alhosasa, alh˚asasa, alh˚assa, (L) alhosasa 'whisper gently';",,አልሖሰሰ,አንሾካሾከ
talhawāsasa,'whisper gently to one another';,,ተለሐዋሰሰ,ተንሾካሾኩ
lahosās,"(Gr.23) ləhosās 'whisper, soft whispering, style of singing';",,ለሖሳስ,ሹክሹክታ
ləhusās,"(D 1425, Gr.23) 'soft whispering';",,ልሑሳስ,ሹክሹክታ
ba-lahusās,(Gr) 'in a low voice';,,በልሑሳስ,በሹክሹክታ
alhosāsi,(Gr.23) 'who whispers';,"SEMITIC: Heb. lāhas 'whisper' (v), Aram. lahāš, Syr. lāheš, Md. lihšā 'whispering' (also nhš 'whisper'), Ug. lhš, Akk. lahāšu 'whisper' (v.). ETHIOPIC: Tna. lohšāšā, lāhošāšā 'whisper', Amh. lahosās 'whispering' (from Geez). See also lahasa II.",አልሖሳሲ,አንሾካሿኪ
lahəsa (yəlhas),"(TS) lahəsa (T) lahəsa (Gr.24) 'cause to peel', talhəsa, passive; lahəsi (Gr.24) 'who peels'; lahəs (Gr.24) 'peeled'; lahəs (T) lahəs 'bark, rind'; lahəsat (Gr.25) 'peeling' (n.);","SEMITIC: related to Ar. lahəsa 'extract the pith of' perhaps also Hebrew hālas 'draw off' (so also Dillmann 34), Aram. hālas 'take off, undress', Syr. halles 'take spoils'. ETHIOPIC: Te. lahəsa 'bark (trees)', Tna. lahəsā, Amh.Gur. laṭa, Arg. lāhaṭa, Har. lēhaṭa, Gur. leṭaṭa, from leṭa with a reduplicated last radical; passed into Cushitic; Bil. leheṣa 'bark (a tree)'.",ለሐጸ፣ ልሕጸ፣ ለሐፀ,ላጠ
lahəṭ (yəlahəṭ),"(T) talahəṭa (K.Gr.24) talahəṭa 'be resplendent, adorn oneself, attire oneself'; talahəṭaya (Lt) 'adorn oneself for others'; lahəṭuy 'pretty, handsome, brilliant'; lahəṭuy 'beautiful'; lahəṭuy (fem. lahəṭuy, lāhiṭ) 'beautiful, handsome, beauty, splendor, brightness'; lahəṭuyat (Lt) 'beautiful things'; lahəṭuyannā (Gr.24) 'beauty'.","SEMITIC: Barth 1893:3 connects the root hly with (with metathesis): Ar. halā (hly) 'adorn, adornments' (going back to hly); so also Reinisch 1895:157. The connection with Ar. lahā (hly) 'peel off', Syr. lahā 'rub off' suggested by Brockelmann 1928:363 is unlikely.",ላሒት,ያጌጠ፣ ያመረ
lāhiṭ,"see (lahaya), lāhəy.",,ላሒት,ላሒት
lahəṭ,"see (lahawa), lāhəw.",,ልሑት,ልሑት
lahawa (yəlhaw),"(T) lahawa (T) see lāhawa. lahawa 'mourn for, lament, bewail, weep, grieve, groan, sigh'; 'alhawa, (Gr.23) 'alāhawa, causative; 'astalāhawa (Gr.23) 'make weep often, weep often'; lahāwi (fem. lahāwit) 'mourner'; lahāw, lahāw (fem. lahāw) 'who mourns, grieving'; lāh, (T) lāh 'mourning, grief, dirge, (Gr.23) tears'; lāhəw (Lt) 'mourning, grief'; mastalāhāwi (Gr.23) 'who makes weep'; lāhəw (T) lāhəw 'prattle', Tna lah bela 'pester, annoy'.","ETHIOPIC: Te. lāhəw (lhw) 'prattle', Tna lah bela 'pester, annoy'.",ለሐወ፣ ለሀወ,አለቀሰ፣ አዘነ
lahāy,(T) 'scarlet thread' could it be connected with lahaya 'be pretty'? See also lay.,,ለሐይ,ቀይ ክር
lahaya (yəlhay),"(Gr.24) lahaya (T) lahaya 'be pretty, be beautiful, be shiny, have a sheen (skin)'; (H 224 wrongly renders Amh. wāzza [translation of G. lahaya] by 'perspire'; it also means 'be pretty'); 'alhaya (Gr.24) causative;",,ለሐየ፣ ልሕየ፣ ልህየ,አምረ፣ አጌጠ
lahəda (Gr),"'pave, level off, make easy'; talahəda (Gr), passive; lahādi (Gr), act. part. of lahəda; lahəd (Gr), pass. part. of lahəda; lahədat (Gr) 'act of paving'; the meaning 'make easy' is to be identified with lahəda (and, in fact, lahəda could be another spelling for lahəda); as for 'pave, level off', it can likewise be derived from the basic meaning 'be gentle, be easy' > 'be paved, leveled off'.",,ልኅደ,አደላደለ፣ አቀለለ
lāhlaha (T),"(Y) lāhlaha (should read lāhlaha) 'become weak, become slack, be soft, be loose, languish'; lāhlaha (K*), causative; lāhlah 'soft, slack, loose, languid'; lāhlah 'weakness, softness, slackness'; lāhlahat (Gr.39) 'softness'; lāhlahənnā, see lāhlahə.","SEMITIC: related to Ar. lahla'a 'be soft, be lax' reduced to lh in the reduplicated form lhlh (see lamla'a for a similar development). ETHIOPIC: Te. lāh bela 'relent', lāhlaha 'be soft', lāhlaha (from 'alāhlaha) 'render soft', Tna. lahlahe 'be loose', Arg. lāhlāha, Har. lahla baya, Amh.Gur. lalla, Amh. lahlu 'soft' (from Geez); passed into Cushitic; Bil. lāh y.",ላኅልኀ፣ ለሕልሐ,ላሉ፣ ደከመ
"lhq, lhəq, malāhaq","(T.M), malāhaq (T reprint) 'kind of basket for food'; a plural of a singular *malhaq, malhaq.",,መላኅቅት፣ መላህቅት,የምግብ ቅርጫት
lakā,(T) 'resin' (D 1426);,"From Ar. lakk, of Middle-Indic lakkha origin.",ለኳ፣ ላኳ፣ ለኴ,ሙጫ
lakā I (yəlkā),"(D) lakā (Gr.38) 'inscribe, impress, imprint, mark, set down in writing, compose, (J) coin (money)'; 'alkāwa, causative; talakāwa, passive; lakā'i, act. part. of lakā; lakāw, pass. part. of lakā; lakāw (Lt) 'text, original' (n); malkā 'act of inscribing, impressing, recording' malkā 'form, image, figure, effigy, icon, portrait, likeness, aspect, a seal impression of poetry (consisting of five verses) which eulogizes a saint by enumerating and praising the various parts of the body'; malkā, malkā (KG) 'means of writing'.","SEMITIC: SAr. (Qataban) lkw ' (pl) (schriftlich) gelegt' (Müller). ETHIOPIC: Tna. lākkā'e 'measure', Amh.Gur. lākka, Arg. ləkka. For G. malkā, cp. Tna. mālka 'appearance', Amh.Arg.Gur. mālka. The root passed into Cushitic: Dar. likkē-su 'measure', Al. milk 'appearance'. See also lakā II.",I ለክአ፣ ለክዐ,ጻፈ፣ ቀረጸ
lakā II (yəlkā),"(D) lakā (T) 'affix, nail down, fasten to, adhere to'; talakā'a (K) 'adhere to one another, be fastened to one another'; 'astalakā'a 'make adhere to one another (Gr.492) make something adhere to oneself'; lakāw 'affixed, fastened to'.","SEMITIC: Ar. lakī'a 'stick to'. ETHIOPIC: Te. lāk'a 'fasten with nails', Tna. 'hit, strike'. It is possible to connect the meanings of lakā II with those of lakā I.",II ለክአ፣ ለክዐ,አጣበቀ፣ ቸነከረ
lakākəh,(D 1393. T.M) 'kind of fruit or vegetable' (Amh. wāzā);,ETHIOPIC: Amh. lakākəh 'vine that has an edible root'.,ለካሕካሕ,የፍራፍሬ ዓይነት
lakaka,"(T.M) 'write'; probably a misprint for lakā'a, for which see above.",,ለከከ,ጻፈ
lak'ama,"(Y.M) 'hit someone's chest, hit'; 'alk'ama 'dash against, thrust, strike, throw down, stamp the ground, hit'; note that the Amharic translation ṣafā 'write' given by Tayyā is wrongly copied from the line above; lak'mat (Lt) 'act of hitting'.","SEMITIC: Ar. lakama 'punch, strike with the fist'. ETHIOPIC: Amh. lākkāmā, lākk'amā 'punch, strike with the fist'.",ለኰመ,መታ
lak'ant,"(T) 'pan, vase';","from Gk. lekanē 'dish, pot, pan'; see also lak'ant.",ልኲንት,ድስት፣ ዕቃ
laksa,(T.M) 'swear to one another'.,,ለክሰ,ተማማሉ
lakut,"see (lakawa), lakəw.",,ልኩት,ልኩት
lak'tant,"(T) 'pan, vase, pot'; variant of lak'ant, above.",,ልኲትንት,ድስት፣ ዕቃ
lakawa,"(T) 'become dull (eyes), become dim, be weak (eyes), be feeble, (Y.M) not understand, be ignorant'; 'alkawa (K.T) 'make dull, make dim, weaken'; lakəw, fem. lakut (Gr.37) 'weakened (eyesight), blinded, who does not see clearly'; lakəwat (Gr.38) 'weakening (of eyes)'; 'alkəw, malkəw (Gr.37) 'that weakens the eyesight';",ETHIOPIC: related to Te. lakka (lkk) 'be stupid'.,ለከወ,ፈዘዘ፣ ደከመ (ዓይን)
lakāw,(T) 'poke with a stick';,variant of lak'aya; see below.,ላከወ,በዱላ ወጋ
lakafa (yəlkəf),"(T) 'touch, smear, be- smear (K.Y) reach'; 'alkafa 'cause to touch'; talakafa, passive; talakafa 'touch one another, (Gr.492) one near one another'; 'astalakafa (Gr.39) 'dash against each other', lakf, pass. part. of lakafa; lakfat 'contact, touch';",SEMITIC: perhaps related to Ar. laqafa 'catch'.,ለከፈ,ነካ፣ ቀባ
lak'aya,"(D 1426) 'touch (with the tongue or the finger)'; The connection with Syr. laḥak 'lay hold of, seize' suggested by Barth 1893:27 is unlikely. ETHIOPIC: Tna. lākāfā 'touch (with the tongue or the finger)', Amh. lākkāfā 'touch with the nose to sniff'. The connection with Te. lāk'a 'throw' suggested by Littmann-Höfner 43 is unlikely.","SEMITIC: The connection with Syr. laḥak 'lay hold of, seize' suggested by Barth 1893:27 is unlikely. ETHIOPIC: Tna. lākāfā 'touch (with the tongue or the finger)', Amh. lākkāfā 'touch with the nose to sniff'. The connection with Te. lāk'a 'throw' suggested by Littmann-Höfner 43 is unlikely.",ለከየ,ነካ
lakiwān (Gr.225),"'touch, anoint';","SEMITIC: Ar. lakaya 'touch lightly, anoint'. ETHIOPIC: Tna. läkāyä 'touch lightly, anoint'.",ለኪዋን,መንካት፣ መቀባት
"lāk""aya (T.K*)","'quarrel with one another, dispute, discuss, wrangle, debate, contend, strive, revile, poke, reprimand, blame, (Y) importune, deride'; lāk""a 'altercation, strife, conflict'","ETHIOPIC: Reinsich 1887:252 connects it with Bil. lag 'accuse, reprimand'. Fleisch 239, n. 2 thinks that the verb is a denominative.",ላኰየ,ተጣሉ፣ ተከራከሩ
lalla,see la.,,ለለ,ለለ
lilo,'vulture',"ETHIOPIC: Tna.Amh. lila, lilo, Te. lilo; also in Cushitic: Bil. lilo, Bed. lalē. See also lolo, tulo.",ሊሎ,አሞራ
lolo (T),'vulture',see lilo.,ሎሎ,አሞራ
lul,'pearl',"from Ar. lu'lu'; also Te.Tna.Amh.Gur. lul, Har. lu'lu'.",ሉል,ሉል
lulo (T),'name of Satan';,"is there any connection with lilo, lolo 'vulture'?",ሉሎ፣ ላሎ,የሰይጣን ስም
läläš (Gr.20),'big jar'.,,ላላህ,ትልቅ ማሰሮ
lelit I (pl. layälay),"'night'; (näfqa lelit manfaqa lelit 'midnight'); 'alälayä 'spend the night (doing something), do something early in the night, rise early in the night' (denominative);","SEMITIC: Ar. layl 'night', Sar. (Qataban) lyl, Soq. lihe, Heb. layil, Aram. lelā, lelēyā, Syr. lelyā, Md. lilia, Ug. ll, Akk. lilātu, lilātu. ETHIOPIC: Te. lali, Tna. läyti, Amh. let, lelit.",I ሌሎት,ሌሊት
lelit II,see lelayä.,,II ሌሊት,ሌሊት
lilit,"see (lelayä), liluy.",,ሊሊት,ሊሊት
lalläwi (T),'understanding',"misprint for läbbäwi, läbbäwi.",ልላዊ,አስተዋይ
lolawa I,"'inflame, light up, kindle, make sparkle, make scintillate, illuminate, singe, scorch'; 'alolawa (Lt), causative;","SEMITIC: related to Ar. la'la'a 'shine, be bright' (Dillmann 53; so also Fleisch 217; note that his translation 'remuer la langue' refers to lawlawa, occasionally written lolawa). ETHIOPIC: Tna. lälašäwā 'singe, scorch'.",I ሎለወ,አነደደ፣ አበራ
lolawa II (T.Y),"'block up a hole, bank a fire';",seems to be opposite of lolawa I.,II ሎለወ,ደፈነ
lolawa III (T.KG),'separate',secondary form of lelayä.,ሌለየ,ለየ
lelayä,"'separate, disjoin, divide, distinguish, make a difference (between), segregate'; 'alelayä, causative; talelayä, passive, reflexive; lelāyi (J), act. part. of lelayä; liluy (fem. liläyt, lilīt) 'separated, distinguished, segregated'; liläy 'separation, distinction'; malelīt (M) 'member of the body, joint'; talelayä (Lt) 'separation'; malelīt (pl. maläylay, maläyläy) 'joint, limb, member of the body, sense, (T.KG) genital organs';","ETHIOPIC: G. lelayä is a reduplicated root ly; so also Te. ('a)lelā 'separate, distinguish', Tna. läläyä. The root ly(y) occurs in Amh.Gur. läyä 'distinguish', Arg. läyya, Har. läya, Gaf. liggä (for which see Leslau 1956:9). A reduplicated root also occurs in Amh.Arg.Gur. lela 'another, different'. For malelīt 'joint, limb' coming from a root 'separate, disjoin', cp. Ar. mafsil 'joint, articulation', from fasala 'separate, disjoin'. The root also occurs in Cushitic: Sa. layä 'part, division'. See also ma-layä.",ሌለየ,ለየ
"lly, 'alelayä",see lelit I.,,አሌለየ,አሌለየ
lämä (T),'why?';,transcription of Heb.Aram. lämā.,ላማ,ለምን?
lom (T.M),'hyena'.,could it be a misprint for lop?,ሎም,ጅብ
lomi,'lemon';,"from Ar. lūmī; also in Te.Tna. lomin, Tna. also lämin, Amh.Gur. lomi; in Cushitic: Af. limi, lōmi, Som. liin, Sa. limin, Bed. lemūn. See Müller, ZDMG (1981).400-1.",ሎሚ,ሎሚ
lamša,"see lamva, lamha.",,ለምአ,ለምአ
"lam'a (D.TS), lam'a (T.Y)","'be resplendent, scintillate, shine'; 'alam'a (Lt), causative; talam'a 'be resplendent, gleam, scintillate'; lam'u (K*) 'shining, resplendent';","SEMITIC: Ar. lama'a 'shine, gleam'. ETHIOPIC: Te. läm'a 'blossom' (perhaps to be identified with läm'a 'be green, be tender'; see lamlama) with metathesis in lä'ama 'gain profit'; Tna. läm'e 'prosper, flourish'; with metathesis in lä'amä 'profit'. Amh. lämma 'prosper, be fertile (land,). See also lamha.",ለምዐ፣ ለምአ,አበራ፣ አንጸባረቀ
"lamada (yälmad, yälmäd)","'be accustomed to, be familiar with, be used to, be trained, learn'; 'almada 'accustom, be accustomed to, be wont to, (Lt) tame'; talamada (K*) 'be a habit'; talamada 'be accustomed to, have the habit, be accustomed to one another'; lämäd 'custom, habit, usage'; (za-lämäd 'habitual, customary'); lämud (fem. lämädd < lämädīt) 'who accustoms himself, accustomed, expert, usual, tamed, trained, (Lt) addicted'; lämädāwi (Gr.26) 'habitual, customary'; 'almadi, malmadi (Gr.26) 'who accustoms', talmid, see below.","SEMITIC: Heb. lämad 'learn', limmūd 'accustomed', Syr. lammed 'accustom', Ug. lmd 'learn', Akk. lamādu 'comprehend, learn'. ETHIOPIC: Te. lämda 'get accustomed, learn', Tna. lämda, Amh. lämmädä, Gur. nämädä (for lämädä) 'love'.",ለመደ,ለመደ
lamd (K.KBT),"'sheepskin cloak, ornate ceremonial garment';",ETHIOPIC: Amh. lämd.,ለምድ,ለምድ
lämedä (T.K*),'wooden shovel used for winnowing trampled grain';,from Amh. lameda; also Gur. lameda; perhaps from Cushitic: Had. kam. lamēda. See also läydä.,ላሜዳ,ላሜዳ (የእንጨት አካፋ)
lamha (T.Y.M),"'become prosperous, thrive';",see lamva.,ለምሐ,በለጸገ፣ ለመለመ
lamlama,"'be verdant, bud, become soft, be smooth, be mild, become tender, be flexible, be fresh'; 'alamlama, causative; lämlum 'soft, tender, mild, smooth, flexible, delicate, fresh, verdant'; lamlam, same; lämlämē 'verdure, freshness, moisture, softness, tenderness, delicacy'; malamlām, part. of 'alamlama;","SEMITIC: Rūžička 102 connects Ethiopic lmlm with PBH. lblb 'germinate, flourish, sprout, be green', with alternance of labials. Armbruster 27 compares Ar. lama'a 'gleam'. ETHIOPIC: the reduplicated root goes back to lm? (= laryngeal which became zero) in Te. lämläma 'become green, sprout', Tna. lämlämä, Amh. lämlämä 'become verdant, send out shoots', Gaf. lämläm 'a 'tender'. The non-reduplicated lm' occurs in Te. läm'a 'be green, be tender', Tna. läm'e, Amh. lämma, Gur. lämā, Gaf. lämä. The root also occurs in Cushitic: Qaf. läläm (from lmlm) 'be verdant, be fresh', Kham. lilem. See also lamva, lam'a, lamha.",ለምለመ,ለመለመ
lamama (MA),"= Amh. näqqašä 'shape wood or stone, tattoo'.",,ለመመ,ነቀሰ፣ ቀረጸ
lammana,'beg'; mälämmän (Gr.25) 'place where one begs'.,"from Amh. lämmänä 'beg', the root also occurs in Tna. lämmänä 'beg', Te. lämmano 'begging', Gur. lämmän 'beggar'.",ለመነ,ለመነ
lamanät,'why?';,"lit. 'for what?'; see la, män.",ለምንት,ለምን?
lamänzuš (Gr.25),"'accustomed, customary, usual';","seems to be composed of la- and mänzuš 'accustomed to pleasure'; see also manzašä, below.",ለምንዙኀ,የተለመደ
lampā (T.MA) 'lamp',"lampapa (MA) 'shine, be bright' (denominative); from Amh. lampa 'lamp' (a variant of lamba, from Ar. lambā, of Italian origin); also in Te.Tna.Gur. lampa, lamba, Har. lāmba. See also lap, lanpās.","from Amh. lampa 'lamp' (a variant of lamba, from Ar. lambā, of Italian origin); also in Te.Tna.Gur. lampa, lamba, Har. lāmba.",ለምፓ,ላምፓ፣ ፋኖስ
lanpene (); see lanpene.,see lanpene.,,ለምጴኔ,ለምጴኔ
lamsanyā . lamsanyā (Lt) 'olive (fruit)','olive (fruit)',From Gk. lampsanē 'charlock (herb)'.,ለምሰንያ፣ ለምስንያ,ወይራ
"lamaṣa (D*, Gr.26) lamda 'be smooth, be soft, be polished, be plain, be bare, be bald';","'be smooth, be soft, be polished, be plain, be bare, be bald'; lamaṣṣa, causative; also 'make slippery'; 'almaṣa, causative; lamāṣi (Gr.26), act. part of lamaṣa; lamuṣ 'smooth, slippery, soft, polished, bald, (D*) hard, rough' (but in the sentence quoted by Ludolf it could also mean 'slippery'); lamuṣ 'leper, leprous'.","SEMITIC: Ar. maliṣ 'smooth', with metathesis (Dillmann 36). Heb. mls (ni'al) 'be smooth'. ETHIOPIC: Te. lämäṣa 'be smooth, be moist', Tna. lämäṣa 'become soft', Amh. lamuṭ 'smooth, polished'. See also lamṣ.",ለመጸ፣ ለምፀ,ለዘበ፣ ተላጨ፣ ራሰ በራ ሆነ
"lamṣ (lamd) () 'leprosy, scab'","'leprosy, scab'; lamaṣa (T) 'become a leper' (probably denominative); (za-lamṣ, pl. ǝlla lamṣ 'leper', lit. 'of [who has, have] leprosy'); lamuṣ 'leper, leprous'; lamṣāwi 'leper, leprous'.","SEMITIC: Ar. lamaz 'white spots on a horse's lower lip' (Armbruster 35). ETHIOPIC: Tna. lämṣi 'leprosy', Amh.Arg.Gur. lämṭ; passed into Cushitic: Al.Tem. lämṭa. The noun 'leper' is perhaps to be derived from lamaṣa in the meaning 'be bare, be bald', since the part of the body that is affected by leprosy is white and gives the impression of being bald.",ለምጽ(ለምፅ),ለምጽ
lamsidā (T) 'sap of the euphorbia'.,'sap of the euphorbia'.,,ለምጺዳ,የቁልቋል ወተት
"lanpā (Gr.400) 'litter, bed'; see lanpene.","'litter, bed'; see lanpene.",,ልንጳእ,አልጋ
"lanpāne , (J) lanpāne , (T) lanpane 'stretcher, throne, chariot, (T) headrest in the form of a half-moon, (J) tent, small tent within a bigger tent';","'stretcher, throne, chariot, (T) headrest in the form of a half-moon, (J) tent, small tent within a bigger tent';","from Gk. lampēnē 'covered chariot'; also in Te. lanpāne 'litter, tent', Amh. lämpāne, lämpāne 'throne for the monarch or prince'. See also lap, lanpās.",ለንጴኔ፣ ለምጳኔ፣ ልንጰኔ,ዙፋን፣ ሰረገላ፣ ድንኳን
"lanpās , (Lt) lanpās 'lamp, torch, flame'","'lamp, torch, flame'","(Li) lanpasa (T) 'shine, scintillate, sparkle' (denominative); from Gk. lampas 'lamp'. See also lampā.",ለንጳስ፣ ልንጳስ,ፋኖስ፣ ሻማ
"lanpasa (Y.MA) 'wear a garment, wrap oneself in a garment';","'wear a garment, wrap oneself in a garment';",,ለንጰሰ,ልብስ ለበሰ፣ ተጠመጠመ
lanpās (T) 'colored cloth'.,'colored cloth'.,,ለንጴዎን,ባለቀለም ልብስ
"lanpewon (T.M) 'bandage, linen'","'bandage, linen'",misprint for lanṣewon .,ለንጼዎን,ጨርቅ፣ ፋሻ
"lanqā () 'sacerdotal vestment, formerly used by the ecclesiastics and the nobility';","'sacerdotal vestment, formerly used by the ecclesiastics and the nobility';",ETHIOPIC: Amh. lanqa; see Hammerschmidt 1970: 154.,ለንቃ,የካህናት ልብስ
"lanṣ , länṣ 'bandage, linen, (J) shroud, belt of monks, (Sw. in D 47) priest's turban';","'bandage, linen, (J) shroud, belt of monks, (Sw. in D 47) priest's turban';","possibly Gk. lention 'cloth, towel, apron worn by monks' (Ludolf 477). See also lanṣewon.",ለንጽ፣ ላንጽ,ጨርቅ፣ መታጠቂያ
"lanṣewon (D.K) 'bandage, towel, linen'; see lanṣ, lanpewon.","'bandage, towel, linen'; see lanṣ, lanpewon.",,ለንጼዎን,ጨርቅ፣ ፎጣ
lap (T) 'lamp'; see lampā.,'lamp'; see lampā.,,ለፕ,ፋኖስ
"lpp, lappa (MA) = Amh. lämälläma which, without a context, can mean 'become verdant, prosper, prune (a tree)';","= Amh. lämälläma which, without a context, can mean 'become verdant, prosper, prune (a tree)';",,ለፐ,ለመለመ
"lapā (T) 'grass', (MA) = Amh. zär HC is undoubtedly a misprint for sar ""IC 'grass'.","'grass', (MA) = Amh. zär HC is undoubtedly a misprint for sar ""IC 'grass'.",,ሎፕ,ሣር
lop (T) = Amh. qes yohannəs 'priest John'.,= Amh. qes yohannəs 'priest John'.,,ሎፕ,ቄስ ዮሐንስ
leqa ; see lyq.,see lyq.,,ሌቀ,ሌቀ
"liq (pl. liqān, liqānāt, liqāwǝnt) 'chief, senior, old man, aged, elder, master, magistrate, learned man, presbyter';","'chief, senior, old man, aged, elder, master, magistrate, learned man, presbyter'; liqa kahnāt 'archpriest, high priest'; liqa pappāsāt 'patriarch, archbishop'; liqa malā'ǝkt 'archangel'; liqa nafs (Gr.19) 'spiritual leader'; liqa hamar 'captain of a ship'; liqa harā 'chief of the army'; (sab'a liqānāt 'Septuagint', lit. 'seventy learned men'); liqännā 'seniority'.","derived from lahqa, above. See also loqā.",ሊቅ,ሊቅ፣ አለቃ፣ ሽማግሌ
liqā (T) 'precious stone';,'precious stone';,perhaps from Cushitic: Bil. laqā'o 'silver'.,ሊቃ,የከበረ ድንጋይ
loqa ; see lwq.,see lwq.,,ሎቀ,ሎቀ
"loqā (T) 'elder, senior'; see liq, above.","'elder, senior'; see liq, above.",,ሎቃ,ሽማግሌ፣ አለቃ
"laqqada I 'mock, deride';","'mock, deride';","ETHIOPIC: related to Te. lägda 'play, jest', läggädä 'make fun'; passed into Cushitic: Sa. Qem. lägät.",I ለቀደ,አፌዘ፣ ተሳለቀ
"laqqada II (T) 'exhibit to view, aspire to'.","'exhibit to view, aspire to'.",,II ለቀደ,አሳየ፣ ተመኘ
laqqaha 'lend' (zayaleqqah 'lender');,"'lend' (zayaleqqah 'lender'); 'alaqqaha 'cause to lend'; talaqqaha 'borrow'; (zayaleqqah 'borrower'); laqqāhi 'creditor, lender'; laqqāhi (K*) 'lent'; laqqāh 'loan, giving a loan'; (sab'a laqqāh 'creditors'); laqqāhe 'borrowing, lending'; talaqqāhi 'debtor'.","SEMITIC: Ar. laqqaḥa 'impregnate, conceive' (Noel-Deke, ZDMG. 40[1886],723). Sar. lqh 'take', Amh. laqaḥ, Aram. lqh (itpǝ'al) 'be taken, be married'. Ph.Ug. lqh 'take', Akk. leqû. ETHIOPIC: Te. 'alaqaha (or 'alaqqaha?) 'lend', 'alaqqaha, Amh. läqqa, Har. (a)lēqaha (and alēqa, with metathesis); also in Cushitic: Or. liqē-ssa 'lend', Qab. liqē-sso, Sid. liqi-ssi, Sa. liqaha.",ለቅሐ,አበደረ
"laqlaqa (T) 'cover with whitewash, plaster, overlay (with metal, wood, etc)';","'cover with whitewash, plaster, overlay (with metal, wood, etc)'; laqlāqe (K*) 'plastering, covering with whitewash'.","SEMITIC: perhaps Ar. laqlaqa 'agitate, shake', Soq. liqeliqeq 'confuse', from a basic meaning 'mix', possibly also Ar. laqqa 'lap, lick', Heb. lāqaq, PbH. liqleq. ETHIOPIC: Te. läqlaqa 'smear over', Tna. läqlaqa, Amh. läqälläqa, Gur. läqäläqa; also in Cushitic: Bil. lalaq (from lqlq), Kham. lileq.",ለቅለቀ,ለሰነ፣ ለበጠ
"laqama I (T.Y.M) 'pick, choose, separate';","'pick, choose, separate';","ETHIOPIC: Te. läqma 'gather, pluck', Tna. läqäma, Amh. läqäma, Arg. läqäma, Har. läqäma, Gur. läqäma; passed into Cushitic: Bil. laqam, Kham. liqem. See also laqama II.",I ለቀመ,ለቀመ፣ መረጠ
laqama II 'chew on food that is hard and makes noise when it is eaten';,'chew on food that is hard and makes noise when it is eaten';,"SEMITIC: Ar. laqima 'eat, swallow up'. ETHIOPIC: Tna. läqäma 'eat roasted grain', Te. läqma 'eat'. The root might also be identified with laqama I 'pick > peck, graze (as in Amharic), eat'.",II ለቀመ,ቆረጠመ
"laqaqa (yǝlǝqaq) (T.Y) 'shackle, bind a prisoner to his guard, (D 1426) strike through and through';","'shackle, bind a prisoner to his guard, (D 1426) strike through and through';",SEMITIC: Ar. laqqa 'strike with the hand'.,ለቀቀ,አሰረ፣ ወጋ
laqasa (K*.T.Y) 'mourn';,"'mourn'; 'alqaṣa (K*) 'cause to mourn'; 'alāqaṣa 'condole with anyone, show sympathy'; talāqaṣa (K*) 'be mourned'; talāqaṣa (K*) 'mourn publicly'; 'astalāqaṣa (K*) 'console'.","SEMITIC: Ar. laqisu n-nafsi 'sad' (Dozy II 543); perhaps also Ar. mulāqiṣ 'patient, who endures a lot'; a Geez form such as 'alāqaṣa 'show sympathy, condole with someone' would mean 'help someone to endure' (Fleisch 210). ETHIOPIC: Te. läqṣa 'mourn', laqṣa 'pay a visit of condolence', Tna. 'aläqäṣa, Amh. aläqäṣa.",ለቀሰ,አለቀሰ
loqṣā (T.M) 'empty house'.,'empty house'.,,ሎቅሳ,ባዶ ቤት
luqās (T) 'light';,'light';,"proper name of the apostle Luke interpreted, with reference to Latin lux, lucis, as 'light'.",ሉቃስ,ብርሃን
